도착 시군구 코드,자치구,버스정류장개수,노선개수,승차총승객수,하차총승객수,승차평균승객수,하차평균승객수,평균 이동 시간(분),이동인구(평균),평균 이동 시간의 합(분),이동인구(합),세대,인구,세대당인구,택시운송업,한식 일반 음식점업,용달 화물자동차 운송업,부동산 중개 및 대리업,두발미용업,커피전문점,남녀용 겉옷 및 셔츠 도매업,기타주점업,일반 교과 학원,한식 육류요리 전문점,종사자총합
11010,종로구,349,106,5468935,5205394,131.8896204119037,125.53402787826172,21.86775373179066,46.04621901164998,5471640,11521454.69,73766,153684,1.96,215,5912,646,889,480,3613,962,1413,382,1982,16494
11020,중구,178,103,3776675,3598932,121.0201236901977,115.32451052648445,21.524816865605217,46.214336045098975,5368440,11526178.91,63767,131450,1.92,235,6414,333,1152,816,3542,24248,982,175,2121,40018
11030,용산구,323,67,4189977,4086474,137.89169354307904,134.48542091752782,21.820457545094587,38.412082050153984,4959790,8731066.25,111207,236518,2.0,523,2987,466,1214,777,2076,317,1332,573,1184,11449
11040,성동구,435,58,2807280,2746738,96.37736885471024,94.29888766822302,22.150334205298154,44.717847166257975,5139830,10376463.41,134533,291609,2.12,2527,2785,1161,1453,851,1859,1572,621,1494,1545,15868
11050,광진구,269,41,2749448,2753411,118.35254616675994,118.52313718737894,22.81056768360555,50.04332550373685,5020720,11014786.16,169483,353110,2.01,1744,2861,985,1313,1337,1887,687,1577,1646,1678,15715
11060,동대문구,306,73,5240565,5115379,131.8414299730811,128.692017409243,22.149240721002187,41.03727980046001,5132710,9509691.96,169695,352592,1.99,2093,3566,1456,1208,891,1472,976,1082,984,1509,15237
11070,중랑구,380,48,3792541,3740923,87.40386255214214,86.2142610218709,23.88774095811284,43.63915705238858,4635870,8469007.57,187693,393600,2.07,6262,2479,1877,1104,1108,1037,284,1000,1045,1504,17700
11080,성북구,602,99,6236424,6231238,123.2519219747426,123.14942983062906,22.716320585566617,48.93174944972888,5232500,11270988.1,197296,442680,2.2,2643,2822,1335,1175,1245,1384,454,1030,1755,1334,15177
11090,강북구,413,67,4825181,4671783,133.02037271875173,128.7915035562662,24.355288963185124,42.21631894936384,4458260,7727739.4,144725,300824,2.05,2589,2663,1030,867,997,1095,94,1275,740,1176,12526
11100,도봉구,359,46,3304305,3211421,106.85935579846064,103.85553974516526,25.138206180366293,40.19425729173716,4086140,6533455.94,138836,318100,2.28,5783,2009,1574,794,847,837,43,477,1162,943,14469
11110,노원구,514,57,4353295,4292724,88.47621080015446,87.24516797756235,24.66204089707898,59.026631054835626,5235480,12530704.48,219065,514445,2.33,6074,2650,1736,1053,1353,1748,123,844,3281,1557,20419
11120,은평구,501,71,5201660,5122499,106.39517283698098,104.776007363469,24.993078182325416,55.01815337484669,4748160,10452293.76,215178,476013,2.19,4430,2585,1349,1614,1443,1296,74,925,1793,1639,17148
11130,서대문구,456,107,5863499,5796960,109.91450155588048,108.66719154200878,22.411313822374257,46.13484366798791,4952990,10195984.99,145044,317075,2.11,2677,2694,808,956,1185,1323,68,1127,1268,1088,13194
11140,마포구,562,97,5088461,4957596,103.90763921504563,101.2353433664822,22.30796403339756,60.51883919396276,5557360,15076453.22,180702,378629,2.04,1838,4705,829,1903,2042,4475,1209,2559,1855,2928,24343
11150,양천구,319,56,4009172,3851173,97.62752642088346,93.7800857156772,23.20939417523017,49.14047664427185,4383860,9281800.65,181765,449378,2.45,4942,2800,1293,1364,1428,1375,52,851,5804,1111,21020
11160,강서구,566,49,4681083,4652828,88.11947968826475,87.58759082865856,25.52039629750221,65.15797251034932,5486630,14008312.51,272572,578426,2.1,6922,4584,1862,2352,1751,2530,700,1709,2347,2274,27031
11170,구로구,486,79,4942197,4730992,119.23561485198678,114.14007575574804,23.162535841941946,45.00829176322716,4717560,9166928.8,181916,419984,2.18,3817,3215,1351,1213,1134,1384,923,1165,1111,1496,16809
11180,금천구,345,58,3776658,3581930,123.098370273794,116.7513037809648,24.28381937369038,32.821421531876176,3789660,5122012.58,118697,244901,1.95,2598,2619,997,1381,715,1215,2575,685,487,1042,14314
11190,영등포구,465,101,5739875,5783211,120.33785483668078,121.246404461403,21.74557132905389,61.73690093394678,5525180,15686297.0,188193,400241,2.0,2397,6476,1429,1566,1261,3295,1220,1489,1082,2151,22366
11200,동작구,438,94,5314274,5112276,124.2959653841656,119.5714185475383,22.059055803183018,45.11626162845173,4944030,10111772.37,186419,394649,2.07,1115,2322,844,1483,1105,1628,199,955,1463,1177,12291
11210,관악구,466,86,7655819,7792476,154.75367386953974,157.51603970002628,23.48072469318161,53.02488821416197,5150450,11630903.18,279353,500336,1.74,2027,3689,1600,2136,1604,2049,190,1672,1230,1628,17825
11220,서초구,600,93,7221330,6977950,126.6877774074139,122.41802775389904,23.119681388945068,72.51279049145133,5944440,18644198.64,169895,413677,2.41,903,6712,411,2758,1832,3897,1563,1255,3812,2338,25481
11230,강남구,499,91,8030483,7569213,128.76792700917196,121.37151241100636,23.418794242482804,104.43729652931366,6543820,29182496.02,234612,537338,2.27,2517,11486,487,6508,6255,7273,8320,2528,9020,5008,59402
11240,송파구,415,55,5641742,5603488,114.27007210564692,113.49526047152231,25.73569904102973,94.93823987879738,6234190,22997744.29,285106,668261,2.32,4850,5760,1931,3190,2328,3372,2830,1469,4160,2781,32671
11250,강동구,369,21,2890053,2830506,99.16119402985076,97.11806484817292,25.931700945451578,73.45083590573036,5082380,14395702.78,201926,465097,2.28,4980,3388,1566,1990,1429,1660,1433,1349,2104,1459,21358
